study_id,title,description
EGAS00001000249,genomic alterations  gingivo buccal cancer icgc india project yr01,"As a part of the ICGC, India has undertaken genomic studies on gingivobuccal cancer of the oral cavity, which is the most prevalent form of cancer among men in India.   There are various known environmental (life-style) correlates of this cancer, the most important of which are tobacco chewing and HPV infection.  Paired DNA samples – isolated from the tumor tissue and from the blood of fifty patients – have been analyzed to catalog germline and somatic mutations. Association between each observed genomic alteration and exposure to environmental risk factors is being explored.Detailed clinical characterization of the patients, collection of data on demographic and environmental exposures, and isolation of DNA samples from blood and tumor tissues collected from each patient are being done at the Advanced Centre for Research, Treatment and Education on Cancer, Mumbai.  Exome capture and deep resequencing are being performed at the National Institute of Biomedical Genomics, Kalyani. We have analyzed the exomes of paired blood and tumor DNA samples using two orthogonal platforms – exome capture by Roche-Nimblegen SeqCap Ez kit followed by sequencing on Roche-454 GS FLX, and exome capture by Illumina TrueSeq Exome Enrichment kit followed by sequencing on Illumina HiSeq-2000. Each exome is being sequenced at a mean depth of 30x. In addition, we have used Illumina Omni Quad SNP-chips to generate genotype data at 1.14 million genomic markers. The average concordance between SNP-chip and sequence data is 99.8%."
EGAS00001000438,solid 3 4 mate pair sequencing  hormone negative breast cancers focusing  structural rearrangements,NA
EGAS00001002360, situ transcription rnaseq,Whole transcriptome sequencing of multifocal breast cancer regions.
EGAS00001000569,tmd amkl targeted follow ,Genomic libraries will be generated from total genomic DNA derived from 200+ patients with childhood Transient Myeloproliferative Disorder (TMD) and or Acute Megakaryocytic Leukemia (AMKL) as well some matched constitutional samples (n &lt; 50).  Libraries will be enriched for a selected panel of genes using a bespoke pulldown protocol. 96 Samples will be individually barcoded and subjected to up to two lanes of Illumina HiSeq. Paired reads will be mapped to build 37 of the human reference genome to facilitate the characterisation of known gene mutations in cancer as well as the validation of potentially novel variants identified by prior exome sequencing.
EGAS00001003276,butyrate producers  potential  generation probiotics safety assessment   administration  butyricicoccus pullicaecorum  healthy volunteers,"Advances in gut microbiota research have triggered interest in developing colon butyrate producers as niche-specific next-generation probiotics, targeted at increasing colon butyrate production and countering disease-associated microbiota alterations. Crucial steps in the development of next-generation probiotics are the design of formulations with a reasonable shelf life as well as the safety demonstration of an intervention in healthy volunteers. One such potential next-generation butyrate-producing probiotic is Butyricicoccus pullicaecorum 25-3T, with demonstrated safety in in vitro as well as in animal models. Here, we examined the strain's safety, tolerability, and impact on microbiota composition and metabolic activity in healthy volunteers in a randomized, double blind, placebo-controlled, crossover study in 30 healthy volunteers. Study design consisted of two four-week intervention periods (108 CFU B. pullicaecorum [treatment] or maltodextrin [placebo] per day) with a three-week washout in between. We assessed adverse events, blood parameters (primary endpoints), and fecal microbiota composition and metabolite profiles (secondary endpoints).The number of reported adverse events during the B. pullicaecorum treatment was similar to placebo intervention, as were observed changes in blood chemistry parameters, bowel habits, and fecal calprotectin concentrations. Administration of the strain did not induce any disruptive effect in microbiota composition or metabolic activity. In this first human intervention trial with a butyrate-producing Clostridium cluster IV isolate, we demonstrated B. pullicaecorum 25-3T administration to be both safe and well tolerated by healthy participants. This safety study paves the way for the further development of the strain as a next-generation probiotic."
EGAS00001003279,unravelling sepsis heterogeneity  trascriptomics bioaid ucl,"There is marked heterogeneity in the septic response, which has hindered efforts to understand pathophysiology and develop targeted therapies. Molecular approaches may provide insights into variation in the host response, enabling biomarker development. Recent evidence suggests that transcriptomic sepsis response signatures (SRSs) can define patient subgroups associated with early outcome in sepsis. In this context, using transcriptomic approaches, the co-applicants were the first to identify differential gene signatures, or immune endotypes, correlating with outcome in sepsis, (Davenport E. et al, The Lancet Respiratory medicine, 2016); potentially providing a path to personalised treatment in sepsis. Specifically, this work defined two groups based on transcriptomic profiles: SRS group 1 being more associated with endotoxin tolerance demonstrating an immunosuppressed signature and is associated with higher mortality, whereas, SRS2 is more immune-heightened. However, despite the importance of these findings, previous studies have been underpowered, and limited in depth of data, to resolve these endophenotypes further. In this context, the Bioresource for Adult Infectious Disease (BioAID) offers substantial opportunities in terms of power, depth and breadth of data linked to biological samples of patients presenting acutely with the sepsis syndrome across the UK.  BioAID currently holds samples for DNA, RNA, serum and microbial isolates for more than 4,000 individuals (with a planned recruit of 10,000 individuals) and therefore provides a powerful resource for examining the underlying biology and correlates of sepsis syndrome with a view to informing early risk stratification of patients, need for critical care, and treatments.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001001761,genetics  congenital anosmia 3,"Individuals with congenital anosmia are born lacking a sense of smell. Here we obtained genomic DNA from families with multiple individuals with anosmia, suggesting they are congenital. These include those inherited in a manner consistent with dominant and recessive alleles. We have sequenced the exomes of both affected and unaffected family members on the Illumina platform."
EGAS00001001950,mutational landscape  renal cell carcinoma  venous tumor thrombus,"Renal cell carcinoma with venous tumor thrombus opens the unique opportunity to investigate the clonal evolution of a tumor in two fundamentally different compartments i.e., within the confinement of an organ and inside a large blood vessel. We performed multiregion whole exome sequencing of a total of 37 samples from five consecutive patients (normal tissue, n=5; primary tumors, n=16; tumor thrombi, n=16) to &gt;35-fold target coverage. Four patients had a clear cell RCC, one patient had a poorly differentiated type II papillary RCC (RCC-VTT-04). The latter patient had a friable thrombus, the others were of solid consistency."
EGAS00001002929,human developmental cell atlas hdca wgs,Single cell + bulk genomics study for immune and hematopoietic organs during human fetal development
EGAS00001003544,rna sequencing  nk cells  human lung,"Human lung tissue-resident NK cells (trNK cells) are likely to play important roles in viral infections, inflammation and cancer. However, knowledge about lung trNK cells is lacking but is fundamental for exploiting these cells in therapeutic approaches. Here we analysed the transcriptome of CD69+CD49a+CD103+CD16-CD56bright, CD69+CD49a+CD103-CD16-CD56bright, CD69+CD49a-CD103-CD16-CD56bright, CD69-CD49a-CD103-CD16-CD56bright, and CD56dimCD16+NKG2A+CD57- NK cells isolated from human lung."
EGAS00001001932,genome wide crispr cas9 screening  human organoids,In this study we will exploit the bacterial clustered regularly interspaced short palindromic repeats (CRISPR) system to perform a genome-wide single-guide RNA (sgRNA) library to screen for genes required for proliferation and survival in human organoids.
EGAS00001003511, medical genome reference bank   genome data resource  4 000 healthy elderly individuals,"Allele frequency data from human reference populations is of increasing value for filtering and assignment of pathogenicity to genetic variants. Aged and healthy populations are more likely to be selectively depleted of pathogenic alleles, and therefore particularly suitable as a reference populations for the major diseases of clinical and public health importance. However, reference studies of the healthy elderly have remained under represented in human genetics. We have developed the Medical Genome Reference Bank (MGRB), a large scale comprehensive whole genome dataset of confirmed healthy elderly individuals, to provide a publicly accessible resource for health related research, and for clinical genetics. It also represents a useful resource for studying the genetics of healthy aging. The MGRB comprises 4,000 healthy, older individuals with no reported history of cancer, cardiovascular disease or dementia, recruited from two Australian community based cohorts. DNA derived from blood samples will be subject to whole genome sequencing. The MGRB will measure genome wide genetic variation in 4,000 individuals, mostly of European decent, aged 60 to 95 years (mean age 75 years). The MGRB has committed to a policy of data sharing, employing a hierarchical data management system to maintain participant privacy and confidentiality, whilst maximizing research and clinical usage of the database. The MGRB will represent a dataset of international significance, broadly accessible to the clinical and genetic research community."
EGAS00001003591,circadian clock properties  type 2 diabetic patients,"The circadian system plays an essential role in regulating timing of body metabolism in humans. Indeed, circadian misalignments are strongly associated with high rates of metabolic disorders. Molecular makeup of the circadian oscillator can be deciphered in cells cultured in vitro, and these cellular rhythms are highly informative of the physiological circadian rhythm in vivo.We aimed at assessing molecular clock properties in dermal fibroblasts established from the skin biopsies of seventeen Type 2 diabetic obese and non-obese patients and eleven healthy controls. Following in vitro synchronization, primary fibroblast cultures were subjected to continuous assessment of circadian bioluminescence profiles based on lentiviral luciferase reporters. We observed a strong inverse correlation between HbA1c values and circadian period length within cells from the Type 2 diabetic group. RNA sequencing analysis conducted in this group samples revealed that ICAM1 encoding for the endothelial adhesion protein was differentially expressed between Type 2 diabetic compensated and non-compensated fibroblasts, and correlated with the period length. Furthermore, ICAM1 expression is driven by rhythmic CLOCK binding. We provide for the first time a potential molecular link between severity of Type 2 diabetes and circadian clock machinery, which paves a way for further mechanistic understanding of circadian oscillator changes upon Type 2 diabetes in humans."
EGAS00001002935,infant spindle tumour study,We aim to describe the transcriptomic landscape of infant spindle cell tumours.
EGAS00001001852,population sequencing phasing,"Whole-genome sequencing of human individuals from Polynesian and Native American populations, as well as 10x Genomics Chromium data from Polynesian, Native American and Aboriginal Australian populations, allowing for experimental phasing of haplotypes.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute please see http://www.sanger.ac.uk/datasharing/"
EGAS00001002376,molecular subtype specific biomarkers improves colorectal cancer prognostication,"Colorectal cancer (CRC) is characterized by major inter-tumor diversity that complicates the prediction of disease and treatment outcomes. Recent efforts help resolve this by sub-classification of CRC according to natural molecular subtypes, however, this strategy is not yet able to provide clinicians with improved tools for decision-making. We here present an extended framework for CRC stratification that specifically aims to improve patient prognostication. Using transcriptional profiles from 1,100 CRCs, including a novel set of &gt;300 samples, we identify novel cancer cell and tumor archetypes and suggest the tumor microenvironment as a major prognostic determinant that can be influenced by the microbiome. Notably, our subtyping strategy allowed identification of novel archetype-specific prognostic biomarkers that provided information beyond and independent of UICC-TNM staging, MSI-status and consensus molecular subtyping. The results illustrate that our extended subtyping framework, combining subtyping and subtype-specific biomarkers, could contribute to improved patient prognostication and may form a strong basis for future studies."
EGAS00001002688,pairedorganoids pdx wg,"DNA Sequencing of matched blood, PDX and organoids derived form metastatic colorectal cancer patients will be sequenced to identify genetic alterations conferring resistance to targeted drugs."
EGAS00001003593,plasma mirna    weight loss,
EGAS00001002888, genome sequencing  hcc,"The French ICGC project on liver tumors is coordinated by Pr Jessica Zucman-Rossi and funded by Inca (French Institute for Cancer). The aim of the present project is to identify the catalog of somatic and germline mutations in liver tumors using whole genome (WGS) and whole exome sequencing (WGS), integrated with DNA methylation and RNA sequencing (RNA-seq) data. The present series corresponds to 24 whole genome sequencing (12 Tumoral/Non-tumoral pairs). Hepatocellular carcinoma (HCC) accounts for more than 90% of liver cancers, and is a major health problem. It is the 3rd cause of cancer-related mortality. Advances in genomic analyses have formed a comprehensive understanding of different underlying pathobiological layers resulting in hepatocarcinogenesis. Thus, the development of next-generation sequencing technologies has made it possible to generate more comprehensive catalogues of somatic alteration events (single nucleotide substitutions, structural variations, and epigenetic changes) in liver cancer genome than ever before."
EGAS00001003595,lymphocyte colony wgs h38,"We study lymphocyte somatic evolution through the sequencing of normal healthy lymphocytes. We perform whole-genome sequencing of single-cell derived T and B cell colonies to identify somatic mutations, and perform targeted deep-sequencing of these mutations. The lineages of T and B cells, and the frequencies of these mutations reveals the neutral and non-neutral evolutionary processes underlying lymphocyte growth and function."
EGAS00001005851, exome sequencing  bipolar cases  matched controls performed   broad institute   cohort  london uk,
EGAS00001003597,genetic landscape  waldenstrom macroglobulinemia,
EGAS00001003507,fixation effects  variant calling   clinical resequencing panel,"Formalin fixation is the standard method for preservation of tissue for diagnostic purposes, including pathological review and molecular assays. However, this method is known to cause artifacts that can affect the accuracy of molecular genetic tests. We assessed the applicability of alternative fixatives to determine whether these perform significantly better on next-generation sequencing assays, and whether adequate morphology is retained for primary diagnosis, in a prospective study using a clinical-grade laboratory-developed targeted resequencing assay. We examined and quantified several parameters relating to sequencing quality and variant-calling from tumor and normal colon epithelial tissues. We identify one alterative fixative, Sakura Universal Molecular Fixative that suppresses many formalin-related artifacts while retaining adequate morphology for pathological review."
EGAS00001003359,ancient nuclear genomes enable repatriation  indigenous human remains,"For many decades Indigenous people, including Native Americans and Aboriginal Australians, have fought for their return of their ancient people.  By sequencing ten ancient nuclear genomes of Aboriginal Australians and 27 mitogenomes from ancient pre-European Aboriginal Australians (up to 1,540 yr BP) of known provenance we demonstrate the feasibility of successfully identifying the geographic origins of unprovenanced ancestral remains using genomic methods."
EGAS00001003599, exome sequencing  trio  primary immunodeficiency il2rb,"A novel homozygous mutation in human IL2RB results in decreased IL-2RB protein expression and dysregulated IL-2/15 signaling. This hypomorphic mutation leads to decreased regulatory T cell frequency and abnormal NK cell compartment, with clinical manifestations of autoimmunity and susceptibility to CMV."
EGAS00001003380,ptpn22 snps  outcome  lung transplantation,"Obstructive chronic lung allograft dysfunction (BOS) is the major limiting factor for lung transplantation (LTx) outcome. PTPN22 is described as the hallmark autoimmunity gene, and one specific single nucleotide polymorphism (SNP), rs2476601, is associated with multiple autoimmune diseases, impaired T cell regulation and autoantibody formation. Taking into consideration the contribution of autoimmunity to LTx outcome, we hypothesized that polymorphisms in the PTPN22 gene could be associated with BOS incidence. We selected six SNPs within PTPN22 and analyzed both patient and donor genotypes on BOS development post-LTx. A total of 144 patients and matched donors were included, and individual SNPs and haplotype configurations were analyzed."
EGAS00001005852, exome sequencing  bipolar cases  matched controls performed   broad institute   cohort  cardiff uk  donovan,
EGAS00001002060, compendium  mutational signatures   environmental exposures,"Analysis of mutational signatures caused by exposure to known mutagens in human induced pluripotent stem (iPS) cells. A reference human iPS cell-line will be exposed to 100 chemicals known or proposed to be mutagenic. Following exposure to mutagen, cells will undergo a period of recovery before sub clones are generated and sequenced. The progenitor “parental” IPS cell-line will be used to generate reference sequence data, in order to determine the mutational signatures acquired as a result of exposure to different mutagens."
EGAS00001003606,cloning expansion  human sperm  nuclear transfer,The ICAHCI embryos were constructed by injecting haploid human embryonic stem cell in to the in vitro matured oocytes followed by activation and culturing in vitro. ICSI embryos were as control generated by injecting single sperm. The embryos was digest with Acctuase and the single cell was collected.
EGAS00001003607,gwas steroid sensitive nephrotic syndrome,
EGAS00001003608,gwas steroid sensitive nephrotic syndrome,
EGAS00001003609,early onset autoimmunity study,
EGAS00001003610,lcm exomes somatic mutation  primary sjogren  syndrome,"Whole exome sequencing of LCM derived cell populations from salivary gland biopsies of patients with Primary Sjogren's Syndrome, as well as normal controls"
EGAS00001003612, british autozygosity populations bioresource,"This data set contains whole exome sequences of individuals with self-stated parental relatedness from the East London Genes &amp; Health cohort. Rare frequency functional variants in these healthy individuals will be studied with respect to the genetic health of the participants and loss-of-function analysis of human genes.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001003613,genome wide mhc  crispr cas9 screening  human organoid lines,"The study will perform genome-wide loss-of-function CRISPR-Cas9 screens to identify tumour cell regulators of immune effector signaling.

*Sequencing is performed on PCR products from the amplification of gRNA segments introduced into commercial cell lines. Cellular DNA or RNA are not sequenced. This data is defined as ""Other Biological/Biochemical Assay Data"" under the WTSI datasharing guidelines and consequently will be released at the time of publication and/or through faculty websites."
EGAS00001003614,paired guide library  identify synthetically lethal genes,"Our aim is to identify novel synthetically lethal genes within cancer cells that could potentially be therapeutically targeted in the future. To achieve this, we have designed a paired CRISPR library containing dual guides against genes that are predicted to be synthetically lethal. This library includes sgRNA targeting over 700 gene pairs of interest as well as suitable controls, encompassing in total 25,500 guides. We intent to use this library to screen a panel of cancer cell lines covering multiple tumour types. This should allow us to identify potential synthetically lethal gene pairs both within specific tumour types and those that are more broadly applicable."
EGAS00001002757,aberrant erbb4 src signaling   hallmark  group 4 medulloblastoma revealed  integrative phosphoproteomic profiling,"The four main medulloblastoma subgroups are characterized by distinct biology, clinicopathological features and clinical outcomes. While the WNT and SHH subgroups are characterized by clearly defined aberrant signaling of developmental pathways, the underlying biology of Group 3 and 4 remains poorly understood. Here, we delineate distinct post-translational regulation orchestrating active oncogenic signaling networks in Groups 3 and 4. Specifically, aberrant ERBB4-SRC signaling constitutes a novel hallmark feature of Group 4, with great promise as a novel oncogenic mechanism and potential vulnerability for therapeutic intervention in the most common subgroup. Altogether, this novel integrative proteogenomic landscape demonstrates the added value of proteomics and phosphoproteomics analysis to discover and exploit unexpected oncogenic mechanisms in medulloblastoma and beyond."
EGAS00001003618,early onset autoimmune hemolytic anemia study,
EGAS00001003137,open targets 020 epigenomes  cell lines,"There is currently a drive to establish cell based assay systems of greater human biological and disease relevance through the use of well characterised transformed cell lines, primary cells and complex cellular models (e.g. co-culture, 3D models). However, although the field is gaining valuable experience in running more non-standard &amp; complex cell assays for target validation and compound pharmacology studies, there is the lack of a systematic approach to determine if this expansion in cell assay models is reflected in increased human biological and disease relevance. The increasing wealth of publically available transcriptomic, and epigenome (ENCODE and Epigenome Roadmap) data represents an ideal reference mechanism for determining the relationship between cell types used for target &amp; compound studies to primary human cells and tissues from both healthy volunteers &amp; patients.
The CTTV020 epigenomes of cell line project aims to generate epigenetic and transcriptomic profiles of cell lines and compare these with existing and newly generated reference data sets from human tissue and cell types. The aim is to identify assay systems which will provide greater confidence in translating target biology and compound pharmacology to patients. 
Multiple cell types commonly used within research have been grouped according to biology. Examples include erythroid, lung epithelial, hepatocyte cell types and immortalised models of monocyte / macrophage biology.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001003619,fam50 chip,This is a Chip-seq experiment using a cancer cell line. Using an antibody we have pulled down DNA that binds to FAM50. FAM50 is a novel protein likely to be a transcription factor.
EGAS00001003621,recapitulation  genetic predisposition  medulloblastoma  human neuroepithelial stem cells,"Human neural stem cell cultures provide progenitor cells that are potential cells of origin for brain cancers. However, the extent to which genetic predisposition to tumor formation can be faithfully captured in stem cell lines is uncertain. Here we evaluated neuroepithelial stem (NES) cells, representative of cerebellar progenitors. We transduced NES cells with MYCN, observing medulloblastoma upon orthotopic implantation in mice. Significantly, transcriptomes and patterns of DNA methylation from xenograft tumors were globally more representative of human medulloblastoma compared to a MYCN-driven genetically engineered mouse model. Orthotopic transplantation of NES cells generated from Gorlin syndrome, patients predisposed to medulloblastoma due to germline mutated PTCH1, also generated medulloblastoma. We engineered candidate cooperating mutations in Gorlin NES cells, with mutation of DDX3X or loss of GSE1 both accelerating tumorigenesis. These findings demonstrate that human NES cells provide a potent experimental resource for dissecting genetic causation in medulloblastoma."
EGAS00001003620,recapitulation  genetic predisposition  medulloblastoma  human neuroepithelial stem cells,"Human neural stem cell cultures provide progenitor cells that are potential cells of origin for brain cancers. However, the extent to which genetic predisposition to tumor formation can be faithfully captured in stem cell lines is uncertain. Here we evaluated neuroepithelial stem (NES) cells, representative of cerebellar progenitors. We transduced NES cells with MYCN, observing medulloblastoma upon orthotopic implantation in mice. Significantly, transcriptomes and patterns of DNA methylation from xenograft tumors were globally more representative of human medulloblastoma compared to a MYCN-driven genetically engineered mouse model. Orthotopic transplantation of NES cells generated from Gorlin syndrome, patients predisposed to medulloblastoma due to germline mutated PTCH1, also generated medulloblastoma. We engineered candidate cooperating mutations in Gorlin NES cells, with mutation of DDX3X or loss of GSE1 both accelerating tumorigenesis. These findings demonstrate that human NES cells provide a potent experimental resource for dissecting genetic causation in medulloblastoma."
EGAS00001005853, exome sequencing  bipolar cases  matched controls performed   broad institute   cohort   netherlands ophoff,
EGAS00001003622,circadian clock properties  t2d patients,
EGAS00001003625,hsc population dynamics scrna seq kx004,"My research project aims to use the clonal dynamics of spontaneously occurring somatic mutations to answer fundamental questions about human haematopoietic stem cell (HSC) biology.

The four major questions I will address are:
1.	How do age and aging affect normal human HSC dynamics in vivo?
2.	How do in vivo perturbations, particularly chemotherapy and increased levels of reactive oxygen species, affect HSC population dynamics?
3.	Is response to in vitro perturbation heritable and/or correlated with other features such as age of individual and contribution of the lineage to peripheral blood?
4.	How are HSC dynamics altered in people with early driver mutations (clonal haematopoiesis)?"
EGAS00001003286,androgen deprivation therapy promotes  inflammatory  obesity  microenvironment  periprostatic fat,"Prostate cancer is a leading cause of cancer-related death and morbidity worldwide. Androgen deprivation therapy (ADT) is the cornerstone of management for advanced disease. The use of androgen deprivation therapies is associated with multiple side effects, including metabolic syndrome and truncal obesity. At the same time, obesity has been associated with both prostate cancer development and disease progression, linked to its effects on chronic inflammation at a tissue level. The connection between androgen deprivation therapy, obesity, inflammation, and prostate cancer progression is well-established in clinical settings; however, an understanding of the changes in adipose tissue at the molecular level induced by castrating therapies is missing. Here we investigated the transcriptional changes in periprostatic fat tissue induced by profound androgen deprivation therapy in a group of patients with high-risk tumours compared to a matching untreated cohort. We find that androgen deprivation therapy is associated with a pro-inflammatory and obesity-like adipose tissue microenvironment. This study suggests that the beneficial effect of androgen deprivation therapy may be partially counteracted by metabolic and inflammatory side effects in the adipose tissue surrounding the prostate."
EGAS00001003383,projectmine llumina hiseqx  hiseq 2000  genome sequence data  3 001 als samples including 212   c9orf72 repeat expansions,"Whole genome sequence (WGS) data was generated on 3,001 samples previously quantified for the presence of the C9orf72 repeat expansion (212 expanded and 2,789 wild type), These samples were sequenced using a combination of 2x100bp reads on an Illumina HiSeq2000 and 2x150bp reads on an Illumina HiSeqX sequencer. The repeat expansions were called using ExpansionHunter to demonstrate the ability to call large repeats from high throughput, WGS data. Provided here are all read pairs where at least one of the reads aligns within 1kb of the C9orf72 repeat expansion in addition to reads aligned in pre-determined off target locations where the aligners are known to mis-align reads."
EGAS00001003437,paediatric tumour profiling,Paediatric Tumour Profiling
EGAS00001003630,crc gwas   spanish population,
EGAS00001003628,oral mucosa organoids   potential model  personalized therapies,"Organoids were established from both tumor and matched wildtype tissue from patients diagnosed with head and neck squamous cell carcinoma (HNSCC). In order to confirm tumor status and identify oncogenic driver mutations, DNA derived of these organoids was sequenced. After validation of tumor identity, organoids were exposed to a range of (targeted) chemotherapeutics and radiotherapy. Differential responses to therapeutics were subsequently correlated to underlying genetic alterations to see if DNA mutation status could be predictive for responses to therapy."
EGAS00001003632,breast cancer immune clusters rna seq,
EGAS00001003631,breast cancer immune clusters rna seq,"In this study we use expression data from breast cancer tumors to define immune clusters in breast cancer.
Immune clusters have gradual levels of immune infiltration. In the intermediate immune infiltration cluster, we found a worse prognosis which is independent of known clinicopathological features. We also found the immune clusters associated with treatment response. Further using gene expression data and deconvolution algorithms to dissect the immune contexture of the clusters."
EGAS00001003439,multi region exome sequencing  lung adenocarcinoma precursors 1,To characterize the genomic landscape of invasive lung adenocarcinoma and its precursors; to depict the genomic evolution from preneoplasia of lung to invasive lung adenocarcinoma; to decipher mechanism to drive the tumor progression.
EGAS00001003637,mutwp6 cruk grand challenge mutographs  cancer alkylating agents,"The Mutographs project aims to advance our understanding of the causes of cancer through studies of mutational signatures. Led by Mike Stratton, together with Paul Brennan, Ludmil Alexandrov, Allan Balmain, David Phillips and Peter Campbell, this large-scale international research endeavour was awarded a Cancer Research UK Grand Challenge. 

Within Mutographs, work lead by the Sanger Institute will investigate whether detection of somatic mutations and mutational signatures in circulating white blood cells can be developed into a practical, generic system for surveying and monitoring multiple different endogenous and exogenous exposures, providing an ‘observatory’ on somatic mutational processes in humans.

Whole genome sequences are generated at the Wellcome Sanger Institute (Illumina HiSeqX). Somatic mutational signatures are subsequently extracted by non-negative matrix factorisation methods. 
Through an enhanced understanding of cancer aetiology, Mutographs unprecedented effort is anticipated to outline modifiable risk factors, lead to new approaches to prevent cancer, and provide opportunities to empower early detection, refine high-risk groups and contribute to further therapeutic development."
EGAS00001002856,integrated analysis  relapsed  cell precursor acute lymphoblastic leukemia identifies subtype specific cytokine  metabolic signatures,"Recent efforts reclassified B-Cell Precursor Acute Lymphoblastic Leukemia (BCP-ALL) into more refined subtypes. Nevertheless, outcomes of relapsed BCP-ALL remain unsatisfactory, particularly in adult patients where the molecular basis of relapse is still poorly understood. To elucidate the evolution of relapse in BCP-ALL, we established a comprehensive multi-omics dataset including DNA-sequencing, RNA-sequencing, DNA methylation array and proteome MASS-spec data from matched diagnosis and relapse samples of BCP-ALL patients (n = 50) including the subtypes DUX4, Ph-like and two aneuploid subtypes. Relapse-specific alterations were enriched for chromatin modifiers, nucleotide and steroid metabolism including the novel candidates FPGS, AGBL and ZNF483. The proteome expression analysis unraveled deregulation of metabolic pathways at relapse including the key proteins G6PD, TKT, GPI and PGD. Moreover, we identified a novel relapse-specific gene signature specific for DUX4 BCP-ALL patients highlighting chemotaxis and cytokine environment as a possible driver event at relapse. This study presents novel insights at distinct molecular levels of relapsed BCP-ALL based on a comprehensive multi-omics integrated data set including a valuable proteomics data set. The relapse specific aberrations reveal metabolic signatures on genomic and proteomic levels in BCP-ALL relapse. Furthermore, the chemokine expression signature in DUX4 relapse underscores the distinct status of DUX4-fusion BCP-ALL."
EGAS00001003640,rna seq  breast cancer samples  breast mri    margins project,"Breast cancer is characterized by high heterogeneity in its phenotype on magnetic resonance imaging (MRI). Better understanding of the molecular biology associated with the different phenotypes on dynamic contrast-enhanced MRI (DCE-MRI) may ultimately aid in the diagnosis and prognosis of breast cancer. In this study we aimed to discover the molecular biology in breast cancers as measured by gene expression profiling that underlies the phenotypes seen on MRI. Therefore,we retrospectively collected tumor RNA for sequencing from breast cancer patients imaged in the MARGINS study between 2000 and 2008."
EGAS00001000942,tracking  origins  drivers  subclonal metastatic expansion  prostate cancer,"Tumour heterogeneity in primary prostate cancer is a well-established phenomenon. However, how the subclonal diversity of tumours changes during metastasis and progression to lethality is poorly understood. Here we reveal the precise direction of metastatic spread across four lethal prostate cancer patients using whole-genome and ultra-deep targeted sequencing of longitudinally collected primary and metastatic tumours. We find one case of metastatic spread to the surgical bed causing local recurrence, and another case of cross-metastatic site seeding combining with dynamic remoulding of subclonal mixtures in response to therapy. By ultra-deep sequencing end-stage blood, we detect both metastatic and primary tumour clones, even years after removal of the prostate. Analysis of mutations associated with metastasis reveals an enrichment of TP53 mutations, and additional sequencing of metastases from 19 patients demonstrates that acquisition of TP53 mutations is linked with the expansion of subclones with metastatic potential which we can detect in the blood."
EGAS00001003641,rna seq   tool  evaluating human embryo competence,"The majority of embryos that are created through IVF do not implant. One possibility for this inefficiency is an incomplete understanding of the molecular factors affecting embryo competence. Currently, the process of selecting an embryo for uterine transfer utilizes an ad-hoc combination of morphological criteria, the kinetics of development, and genetic testing for aneuploidy. However, no single criterion can ensure selection of a viable embryo. In contrast, RNA-sequencing of embryos could yield highly dimensional data, which may provide additional insight and illuminate the discrepancies among current selection criteria. Indeed, recent advances enabling the production of RNA-sequencing (RNA-seq) libraries from single cells have facilitated the application of this technique to the study of some transcriptional events in early human development. However, these studies have not assessed the quality of their constituent embryos relative to commonly used embryological criteria. Here, we perform proof-of-principle advancement to clinical selection procedures by generating high quality RNA-seq libraries from a trophectoderm biopsy as well as the remaining whole embryo. We combine state-of-the-art embryological methods with low-input RNA-seq to develop the first transcriptome-wide approach for use in future predictive embryology studies. Specifically, we demonstrate the capacity of RNA-seq as a promising tool in preimplantation screening by showing that biopsies of an embryo can capture valuable information content available in the whole embryo from which they are derived. Furthermore, we show that this technique can be used to generate a RNA-based digital karyotype, and to develop a foundational dataset for identifying candidate competence-associated genes. Together, these data establish the foundation for a future RNA-based diagnostic in IVF."
EGAS00001003642,pangenomic classification  pituitary adenomas,"Pituitary neuroendocrine tumors (PitNETs) are common. They are classified in five main histological types: PitNETs of POU1F1 (Pit1) lineage -lactotroph, somatotroph and thyrotroph -, gonadotroph, and corticotroph PitNETs. Pituitary tumorigenesis is poorly understood.  We report here a pangenomic characterization of 134 PitNETs from all types, based on exome, genome, transcriptome, miRnome and methylome. Pit1 lineage was associated with a specific epigenetic signature of diffuse DNA hypomethylation, and correlated with expression of Pit1 markers and chromosomal instability. 45% of somatotroph PitNETs showed GNAS mutations. GNAS-wild type somatotroph showed a distinct transcriptome profile, expressing gonadotroph transcription factor NR5A1 (SF1). Sparsely granulated somatotroph PitNETs was classified apart from somatotroph, owing to a thyrotroph transcriptome signature. 43% of corticotroph PitNETs showed USP8 mutations, sharing a low epithelial-mesenchimal transition (EMT) transcriptome signature. Silent corticotroph PitNETs showed a gonadotroph transcriptome signature evoking transdifferentiation, and lost somatostatin target SSTR5 expression."
